"Username","group2","Reach"
"@_rewilding","Public",112
"@_riverrain","Scientists",114
"@_robsheldon","Public",863
"@_rosyd","Media",2177
"@_safeashouses_","Public",303
"@_sam_forster_","Applied",668
"@_samanthafranks","Scientists",194
"@_samanthafranks","Media",194
"@_sara_varela","Scientists",188
"@_sarah_joy","Media",36
"@_sbspresse","Media",885
"@_scienceisok","Scientists",110
"@_scienceisok","Media",110
"@_scienceninja","Scientists",167
"@_scior","Scientists",548
"@_scogg","Public",103
"@_seachange","Public",134
"@_seagypsy_","Public",366
"@_seedbed","Public",330
"@_sharkservation","Public",915
"@_simonscott","Public",3708
"@_sofiap__","Public",2
"@_sonjaendres_","Scientists",16
"@_starkman","Media",109
"@_stefanb","Public",219
"@_stephen_lewis_","Scientists",53
"@_stuartdrew","Scientists",122
"@_susanwang","Public",136
"@_sweetheather","Public",218
"@_syaashairi","Public",135
"@_teedub","Media",86
"@_tessasmith_","Scientists",48
"@_the_mason","Scientists",112
"@_thesee","Scientists",88
"@_toripie","Public",44
"@_twomack_","Public",47
"@_ullazz","Public",157
"@_uyak","Scientists",281
"@_villein_","Public",168
"@_vincents_","Scientists",406
"@_vuono","Scientists",31
"@_vuono","Media",31
"@_wanderingwoody","Applied",140
"@_wanderingwoody","Media",140
"@_wassum","Public",35
"@_wildscience_","Scientists",1211
"@_woman_health","Public",471643
"@_wpz_","Scientists",133
"@_zbenitez","Public",131
"@_zoe_holden_","Scientists",349
"@_zoonotica_","Public",931
"@000kayakman","Public",992
"@01greeneyedgirl","Media",472
"@09apps","Public",57
"@0bsoletist","Scientists",108
"@0oomichaeloo0","Scientists",17
"@1000000_trees","Public",399
"@1000friendsofmd","Public",3925
"@100milesga","Public",459
"@100percentchimp","Scientists",183
"@101alun","Scientists",190
"@1039thehits","Public",350
"@10billionby2050","Public",7651
"@10centsaline","Public",61
"@10kcoffees","Public",3964
"@10mingardener","Outreach",8703
"@10oclocklive","Public",32654
"@10salamanders","Scientists",104
"@111_healthy","Public",190452
"@1111linno","Media",552
"@111cloud","Public",680
"@1160302851","Scientists",71
"@11thandgrand","Public",168
"@122no","Public",189
"@1234jc4321","Scientists",131
"@123bjjj","Public",9
"@123growth","Public",953
"@123top10","Public",637147
"@12665ceaa81541d","Scientists",30
"@12th_mba_pg","Scientists",75
"@13machine13","Public",76
"@13north144east","Public",333
"@13wmaznews","Media",25199
"@140dev","Public",8542
"@140inthemorning","Public",75
"@14cenvironment","Scientists",257
"@14katie41","Scientists",24
"@15iec","Scientists",35
"@15jonesj","Public",16
"@16_hough","Scientists",5459
"@168fz","Public",31
"@17reasons","Public",951
"@17thenushan","Public",95
"@180debs","Public",83
"@180earth","Public",53
"@1878_diarist","Public",3680
"@187amru","Public",0
"@1888myre","Public",812
"@18938886178hu","Public",34
"@1896marineband","Public",183
"@195angela","Scientists",1275
"@1974santiago","Public",7
"@1980s_vs_1990s","Public",2539
"@1987dade","Public",37
"@1991rs","Public",275
"@1alisalah1","Scientists",239
"@1arino","Public",200
"@1berryhill","Scientists",102
"@1bizz","Media",14134
"@1blackwolfrd","Public",1750
"@1bluemarble","Public",1669
"@1d3768a1137b427","Public",26
"@1decook","Scientists",73
"@1degreebio","Public",4815
"@1desertdolphin","Scientists",68
"@1dropofwater","Public",2
"@1faerygirl","Public",186
"@1filly1","Public",683
"@1handedgardener","Public",10071
"@1hotgerman","Public",1184
"@1humanity","Public",181
"@1issode1phis","Public",15
"@1jlh1","Media",470
"@1jnsabertoothed","Public",37
"@1jonevans","Scientists",197
"@1kathyr","Public",303
"@1kpharm","Public",242
"@1levas","Scientists",41
"@1lolamarina","Public",7966
"@1michelledonner","Media",43
"@1millionwomen","Public",11717
"@1morecupofjoe","Public",442
"@1moregeneration","Applied",2729
"@1nfinitezer0","Scientists",391
"@1nfinitezer0","Media",391
"@1people1reef","Public",466
"@1piecelitterday","Public",403
"@1reniernel","Public",9090
"@1ronanconnolly","Public",249
"@1sambrown","Media",93
"@1sands","Scientists",18
"@1splashyvisuals","Public",15668
"@1stclasspics","Public",64
"@1stclassscience","Scientists",138
"@1stcoastlaw","Public",273
"@1stego","Public",151
"@1stimpressnews","Media",1977
"@1sweetladyblue","Public",3452
"@1taketaylor","Public",252
"@1walkingfish1","Public",101
"@1world1chance","Scientists",254
"@1world1ocean","Media",44009
"@1worldkids","Public",2780
"@2_ndhanddance","Public",1023
"@200micron","Scientists",15
"@2011buttons","Scientists",67
"@2012_iac","Outreach",324
"@2014abs","Scientists",186
"@2014techgirl","Scientists",355
"@2015bigyear","Public",648
"@2016noel","Public",735
"@2020science","Public",16022
"@20faf13","Public",617
"@20tauri","Media",2318
"@20tl","Media",61
"@213558118679","Public",276
"@21cenlighten","Public",337
"@21stcenturytch","Outreach",106161
"@21stcenturywpa","Public",446
"@22dropout","Public",2940
"@22jody","Public",109
"@22reasonstocare","Public",101
"@23andme","Scientists",47854
"@23rockrollshine","Public",3223
"@243athy","Public",457
"@24beavers","Scientists",53
"@24x7as_solution","Public",139
"@24x7homeworkhel","Public",147
"@27_marinoff","Public",57
"@276039081","Public",223
"@27andaphd","Scientists",2050
"@294107","Public",181
"@2angryfeet","Outreach",109
"@2bfreelance","Media",179
"@2binnovative","Public",36
"@2d406aa6da9646e","Public",352
"@2degreesalison","Media",1272
"@2dialog","Public",15984
"@2emidj0","Public",204
"@2esoborskaya","Public",205
"@2footgiraffe","Outreach",7557
"@2ivycat","Public",3043
"@2jamiewood","Scientists",155
"@2katsdancing","Public",55
"@2lazy4food","Public",997
"@2morrowknight","Media",798456
