"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@veronikameduna","science writer broadcaster author radionzs rnzscience science on ice http tco ghcpivygvh finalist 2013 science book prize new book on pacific migration",0,0,0,0,0,0,1,0,0,0,0
"@wildlifeinwater","all things freshwater biodiversity conservation biologist iucn international union for conservation of nature part time runner views my own not iucn",0,0,0,1,0,0,0,1,0,0,0
"@plan_vivo","providing a marketbased mechanism for community projects that deliver excellent ecosystem climate livelihood benefits",0,0,0,1,0,0,0,0,0,0,0
"@wessexinstitute","the wessex institute of technology organises an extensive annual conference programme in countries worldwide",0,0,0,0,0,1,0,0,0,0,0
"@momentofscience","a moment of science answers thousands of common questions about the world we live in through radio programs audio video podcasts a production of wfiu",0,0,0,0,0,0,1,0,0,0,0
"@yachtandfish","panama yacht fishing charters offers bespoke luxury yacht vacations in both the pacific ocean caribbean sea of panam",0,0,0,0,0,0,0,0,0,0,1
"@maysenborowski","the mampb group comprise of three specialized companies in engineering investment corporate advisory",0,0,0,0,0,0,0,0,0,0,1
"@pacificinstitut","the pacific institute is a nonpartisan research institute that works to advance environmental protection economic development social equity",0,0,0,0,0,1,0,0,0,0,0
"@zmiller1902","i loved my family miss them already",0,0,0,0,0,0,0,0,0,0,1
"@la_fishhead","me gusta los peces",0,0,0,0,0,0,0,0,0,0,1
"@tata_box","data scientist guitar player will code for beer a linux machine ",0,0,0,1,0,0,0,0,0,0,0
"@martindallimer","environmental change srileeds seeleeds humandominated landscapes cities agriculture biodiversity conservation ecosystem services economic valuation",0,0,0,1,0,0,0,0,0,0,0
"@royalscotgeosoc","royal scottish geographical society an educational charity promoting an understanding of the natural environment human societies their interactions",0,0,0,0,0,1,0,0,0,0,0
"@lynxie63","conservative cryptid believer with god guns bible in hand prepper sot sov",0,0,0,0,0,0,0,0,0,0,1
"@wrighting","advancing natureorg serving as campaign director for northernsierra lead guide on trips classes for rei nolsedu new dad trying to make it all work",0,0,0,0,0,0,0,0,0,0,1
"@paulblaser","data especially bioinformatics health data gis data marketing data data mining algorithms data visualization munging around with python sql net",0,0,0,1,0,0,0,0,0,0,0
"@meritedemocracy","a boring revolutionary social philosopher occasionally pretentious artist",0,0,0,0,0,0,0,0,0,0,1
"@sboydie","greenfingered green lady with an interest in digital sustainable education im hitech in a lowtech kinda way",0,0,0,0,0,0,0,0,0,0,1
"@localwebgeek","powerful small business promotion http tco t8bhnwu4xs",0,0,0,0,0,0,0,0,0,0,1
"@plantpopnet","plantpopnet is a coordinated distributed network for spatial plant population dynamics using plantago lanceolata tweets by yvonne buckley anna csergo",0,0,0,1,0,0,0,0,0,0,0
"@tsullivanlab","assistant prof wazzu microbes metals in soils rhizosphere interactions transformations bioremediation http tco g3phofv7yu",1,0,0,0,0,0,0,0,0,0,0
"@tama_lion","enjp translator animal behavior phdcourse dropout http tco bdrm0pnt7l http tco 1fs8in3rg5",0,0,0,0,0,0,0,0,0,0,1
"@ucbiology","we are the biology department at utica college",0,0,0,0,0,1,0,0,0,0,0
"@yeovil87","ocean science graduate yeovil town fan vw enthusiast",0,0,0,0,0,0,0,0,0,0,1
"@monicascicom","science geek word nerd opinions stated here are mine or they were at the time anyway",0,0,0,0,0,0,0,0,0,0,1
"@russell_weaver","assistant professor of geography at texas state university rt endorsement",1,0,0,0,0,0,0,0,0,0,0
"@urbresiliencia","urban resilience center",0,0,0,0,0,0,0,0,0,0,1
"@mspr1mr0se","mostly harmless was yes still yes",0,0,0,0,0,0,0,0,0,0,1
"@mirywhitehill","reubens ema beatmakers wife daughter of a poet erykah badu called me funny lady",0,0,0,0,0,0,0,0,0,0,1
"@paddlehigh5","kayaking scotland coast2coast may 2015 to kick mutiple sclerosis butt raise funds for the wildlife trust climbing out blogger pootler conservationist",0,0,0,0,0,0,1,1,0,0,0
"@momsmusclesmore","community of moms focusing their incredible abilities on building strength leaning out creating space through nutrition yoga group fitness",0,0,0,0,0,0,0,0,0,0,1
"@rhodri","vapid response unit i write for the independent others i play in scritti politti dream themes prescott not as funny as i used to be unfollow e17",0,0,0,0,0,0,0,0,0,0,1
"@marymackay8","masters student marine conservation diver environmentalist",0,1,0,0,0,0,0,0,0,0,0
"@lindseyglenn","i need the sea because it teaches me",0,0,0,0,1,0,0,0,0,0,0
"@uclurbanlab","ucl urban laboratory is a crossdisciplinary centre for critical creative urban thinking teaching research practice",0,0,0,0,1,1,0,0,0,0,0
"@marbrians","marine biology researcher at jcu interested in coastal ecology science communication",0,0,0,0,0,0,1,0,0,0,0
"@the__hoare","lupuswarrior university of waterlooscience justdoit officially caught them all",0,0,0,0,0,0,0,0,0,0,1
"@sustainablepod","sustainable lens resilience on radio",0,0,0,0,0,0,1,0,0,0,0
"@salmatannery","m s salma tannery is one of the leading leather supplier leather items manufacturer we produce export crust finished split leather leather products",0,0,0,0,0,0,0,0,0,0,1
"@mceccarelli","senior scientist at qatar computing research institute professor of bioinformatics beginner jazz double bass player",1,0,0,0,0,0,0,0,0,0,0
"@tenkile","conservation biodiversity tree kangaroos papua new guineatorricellis community development sustainable living grassroots ngo research water supply",0,0,0,0,0,0,0,1,0,0,0
"@larryeklin","hi i am larry eklin from uk i arrange services from iphone 5 deals for more detail visit at http tco 3fibhpcjqu",0,0,0,0,0,0,0,0,0,0,1
"@visionaryvalues","we believe in data information knowledge in the commons free the data engage your heart mind sustainability transparency",0,0,0,0,0,0,0,0,0,0,1
"@meclapham","paleontologist fan of transparency in science increasingly in love with r unhealthily obsessed with data entry",0,0,0,1,0,0,0,0,0,0,0
"@ravinaproject","our household is a privately funded engineering science research project our work covers many areas including household resiliency",0,0,0,0,0,1,0,0,0,0,0
"@lovesthesox","librarian at wellesley college all thoughts here are my own",0,0,0,0,0,0,0,0,0,0,1
"@wae2","founder of world academy for entrepreneurship enterprise wae2 entrepreneur investor speaker diplomat help entrepreneurs achieve more faster",0,0,0,0,0,0,0,0,0,0,1
"@tdinosaurios","twitter del equipo cientfico del museo de dinosaurios de salas de los infantes burgos espaa el colectivo arqueolgicopaleontolgico salense",0,0,1,0,0,0,0,0,0,0,0
"@pde","protegir lebre els seus ecosistemes i territoris protecting the river ebro its ecosystems the livelihood of its surrounding lands",0,0,0,0,0,0,0,0,0,0,1
"@tianjie1121tian","master student at crawford school",0,1,0,0,0,0,0,0,0,0,0
"@pedro_jordano","fazendo cincia e soltando pipa iamanaturalist im an evolutionary ecologist working on how ecological interactions shape complex ecological systems",0,0,0,1,0,0,0,0,0,0,0
"@larreamikel","investigador en ingeniera de sistemas y automtica",0,0,0,0,0,0,0,0,0,0,1
"@market_spy","market research guru at quintiles leave no unmet need unturned personalized med healthcare it entrepreneurship tweets own opinion",0,0,0,0,0,0,0,0,0,0,1
"@mydeardarwin","the darwin correspondence project publishes the complete correspondence of charles darwin quotes trifles highlights from the editors histsci",0,0,0,0,0,0,1,0,0,0,0
"@plantecophyspty","a tropical ecologist with interest in plant ecophys introduced alien species plants conservation of tropical forests",0,0,0,1,0,0,0,0,0,0,0
"@redrawnoxen","staff writer at worldscifest cartoonist exfishmonger",0,0,0,0,0,0,1,0,0,0,0
