"Username","bio","faculty","student","mza","other.sci","outreach","sci.assoc","media","applied","politician","unknown","public"
"@asunseo","a pesar del pib no vamos a desfallecer seo birdlife contagiar a toda la sociedad su conviccin el medio ambiente es parte de la solucin",0,0,0,0,0,0,0,1,0,0,0
"@bonniec221",NA,0,0,0,0,0,0,0,0,0,1,0
"@drtryan","msf ridercoach science teacher",0,0,0,0,1,0,0,0,0,0,0
"@hanks_thomson","grad student evolution bioinformatics microbiology pathogen adaptation antibiotic resistance pseudomonas i dont study insects but they look nice",0,1,0,0,0,0,0,0,0,0,0
"@jenturn3r","i work for the rspb its my job to grow support for nature from businesses i love my husband friends job rock music the planet in general tweets my own",0,0,0,0,0,0,0,0,0,0,1
"@farishte_p",NA,0,0,0,0,0,0,0,0,0,1,0
"@joycewong77",NA,0,0,0,0,0,0,0,0,0,1,0
"@ivan_cestari","fatherbikerswimmerenvironmental engineer",0,0,0,0,0,0,0,0,0,0,1
"@barbaragdooley","i am a freelancer writer i mastered the field of health currently im working with my friends to make a perfect blog about health",0,0,0,0,0,0,1,0,0,0,0
"@dakkaynak","oceanographerdiverengineer trying to get http tco ntgxbxogp6 off the ground tweets in english turkish urlaldalg mhendisokyanus bilimci",0,0,0,0,0,0,0,0,0,0,1
"@ainopa",NA,0,0,0,0,0,0,0,0,0,1,0
"@foodfotogallery","gorgeous food fotos posted daily share yours at",0,0,0,0,0,0,1,0,0,0,0
"@fdrenn","music teacher improving classical guitarist space exploration advocate",0,0,0,0,1,0,0,0,0,0,0
"@chemist_ahmed22",NA,0,0,0,0,0,0,0,0,0,1,0
"@gaggle_k12","safe k12 communication collaboration learning follow gagglesafety need help use gagglesupport or email supportathttp tco bpggiuuitk",0,0,0,0,0,0,1,0,0,0,0
"@jaime_mcclain",NA,0,0,0,0,0,0,0,0,0,1,0
"@bogfossil","dad paleobiogeochemist peatland lover",0,0,0,1,0,0,0,0,0,0,0
"@claudialgray","postdoc in ecology conservation researching impacts of human activity landscape management on biodiversity ecosystem services",0,1,0,0,0,0,0,0,0,0,0
"@edglucksman","researcher at uniofexeteresi responsible mining practices science communication policy microbiology coauthor of http tco rtfkbp9kre",0,0,0,0,0,0,1,0,0,0,0
"@kjfverhoeven",NA,0,0,0,0,0,0,0,0,0,1,0
"@jbgwct",NA,0,0,0,0,0,0,0,0,0,1,0
"@amandanewsom","my favorite things are nonprofits animals traveling anthropology food shoes",0,0,0,1,0,0,0,0,0,0,0
"@ecgilmartin","fungal ecology person researching heartrot casual botanist occasional birder",0,0,0,1,0,0,0,0,0,0,0
"@celiacackowski","biologist artist educator",0,0,0,1,0,0,0,0,0,0,0
"@jobirtus","australian wildlife carer whitehut wildlife welfare coastal conservation the coorong south australia animal activist",0,0,0,0,0,0,0,0,0,0,1
"@eeric1028",NA,0,0,0,0,0,0,0,0,0,1,0
"@comedyaiiday","no",0,0,0,0,0,0,0,0,0,0,1
"@foaylward","postdoc at the uhmanoa center for microbial oceanography research education cmore studying microbial ecology bioinformatics metagenomics",0,1,0,0,0,0,0,0,0,0,0
"@d_akkers","dakakkers rooftopcrops stadslandbouw rooftopfarm urbanfarming rooftopbees bijen milieucentrum luchtsingel bindergroen stadsinitiatief",0,0,0,0,0,0,0,0,0,0,1
"@ecomont_lara",NA,0,0,0,0,0,0,0,0,0,1,0
"@alesandra_lucia",NA,0,0,0,0,0,0,0,0,0,1,0
"@envstudiesp","an education conservation organization headquartered on a 914 acre field station apiary just north of warrenton virginia",0,0,0,0,0,1,0,0,0,0,0
"@flyangleruk",NA,0,0,0,0,0,0,0,0,0,1,0
"@clyde_crashcup","general science geek professional entomologist specialist in the prevention of tickborne diseasesvery preventable ask me how",0,0,0,1,0,0,0,0,0,0,0
"@dleuchtman","university of missouri plant biology graduate student",0,1,0,0,0,0,0,0,0,0,0
"@dustrubenstein","associate professor at columbia university behavioral ecologist field biologist who spends too much time in front of a computer explorer of social evolution",1,0,0,0,0,0,0,0,0,0,0
"@gcebayreuth","a msc program dedicated to understand analyse global change phenomena also sharing information of courses jobs offers latest news of climate change",0,0,0,0,0,0,1,0,0,0,0
"@exconomist","breaking the laws of economics statistics beyond a reasonable doubt most often not in a good way also i used to do computer science i like the ocean",0,0,0,1,0,0,0,0,0,0,0
"@jkconsuegra",NA,0,0,0,0,0,0,0,0,0,1,0
"@blogadoocom",NA,0,0,0,0,0,0,0,0,0,1,0
"@explorethecoast","stunning landscapes nature culture heritage news events updates from the north devon coast areas of outstanding natural beauty",0,0,0,0,0,0,1,0,0,0,0
"@elisewardrop","mcgill animal health disease undergrad student macdonald dairy farm vet tech",0,1,0,0,0,0,0,0,0,0,0
"@bielfrontera","matemtic a mig cam entre la docncia i la informtica inquiet",0,0,0,0,0,0,0,0,0,0,1
"@adelfanti","from piacenza to university of california davis author of biohackers the politics of open science devoto di san precario",0,0,0,0,0,0,1,0,0,0,0
"@coopermarie","i like thunderstorms i hate sleeping in",0,0,0,0,0,0,0,0,0,0,1
"@coralluzza","loves sharks measuring fishes meeting fishers in mediterraneanfao consultant on cites commerciallyexploited aquatic specieshere just my thoughts",0,0,0,0,0,0,0,0,0,0,1
"@bsandvicensis","nmfs biologist who speaks english spanish pidgin active sassy progressive bird were an endangered breed apart",0,0,0,1,0,0,0,0,0,0,0
"@ecojustice_ca","as canadas only national environmental law charity ecojustice is building the case for a better earth",0,0,0,0,0,0,0,1,0,0,0
"@fishgal42","i am an economist at noaas northwest fisheries science center this account is my own does not represent agency policy or endorsement",0,0,0,1,0,0,0,0,0,0,0
"@andreinstinct","try",0,0,0,0,0,0,0,0,0,0,1
"@inigopalacios"," el mar lo cura todo cuida el ecosistema the sea cures everything watch the ecosystem please followers 18 years aos",0,0,0,1,0,0,0,0,0,0,0
"@andrewwords","gotta love that science",0,0,0,0,0,0,0,0,0,0,1
"@drdelittle",NA,0,0,0,0,0,0,0,0,0,1,0
"@evotar_fp7",NA,0,0,0,0,0,0,0,0,0,1,0
"@anthropocenei",NA,0,0,0,0,0,0,0,0,0,1,0
"@izolagerety9137","i think we live in a very exciting time i am happily here to share information quotes about a conscious living nature sustainable living",0,0,0,0,0,0,0,0,0,0,1
