"Name","Handle","Tweets","Followers","University","DaysSinceLastTweet","DateLastTweet","Last.tweet","ESDcheck_notes"
"Amy Parachnowitsch","@EvoEcoAmy",4723,1867,"Uppsala U",3,"27-Mar","27-Mar",""
"Garry Peterson","@resilienceSci",4850,2983,"U Stockholm",3,"27-Mar","27-Mar",""
"Vincent Gauci","@GauciGauci",3382,599,"Open U",2,"28-Mar","28-Mar",""
"David Steen","@AlongsideWild",13300,5529,"Auburn",0,"30-Mar","13 s",""
"Anthony Martin","@ichnologist",26100,2314,"Emory U",0,"30-Mar","7h",""
"Mark Bertness","@mbertness",644,420,"U Rhode Island",7,"23-Mar","23-Mar","*Mark Bertness has 2 Twitter accts - personal + lab"
"Douglas McCauley","@McCauley_Lab",164,359,"UC Santa Barbara",11,"19-Mar","19-Mar",""
"Andy Cooper","@QuantEcologyABC",887,639,"SFU",14,"16-Mar","16-Mar","yep"
"Isabelle Cote","@redlipblenny",2139,2570,"SFU",3,"27-Mar","27-Mar",""
"Scott Merrill","@BugDoc_Scott",76,10,"U Vermont",12,"18-Mar","18-Mar",""
"Neil Hammerschlag","@DrNeilHammer",4843,3259,"U Miami",0,"30-Mar","7h",""
"Carol Adair","@ecadair",830,183,"U Vermont",0,"30-Mar","5h",""
"Bill Pawlik","@PawlikLab",361,338,"UNC",8,"22-Mar","22-Mar","RT"
"Josh Cinner","@JoshuaCinner",140,369,"JCU",6,"24-Mar","24-Mar",""
"Randall Hughes","@hughes_lab",206,121,"Northeastern U",3,"27-Mar","27-Mar",""
"Elizabeth Jeffers","@ElizSJeffers",1689,289,"Oxford",1,"29-Mar","29-Mar",""
"Richard Lenski","@RELenski",3866,4157,"Michigan State U",0,"30-Mar","5h",""
"Ceri Lewis","@CezzaLew",6344,1564,"U Exeter",3,"27-Mar","27-Mar",""
"Fernando Maestre","@ftmaestre",1223,465,"University Rey Juan Carlos",0,"30-Mar","49 m",""
"Chris Parsons","@craken_MacCraic",25800,1916,"George Mason U",0,"30-Mar","23h",""
"Rebecca Barnes","@waterbarnes",348,198,"Colorado College",0,"30-Mar","33 m",""
"Karen Lips","@kwren88",13700,2201,"U Maryland",0,"30-Mar","6h",""
"Alex Perkins","@TAlexPerkins",1120,322,"Notre Dame",0,"30-Mar","6h",""
"Dave Patterson","@marbef22",196,147,"U St Andrews",0,"30-Mar","22 h","RT"
"Meghan Duffy","@duffy_ma",13600,2833,"U Michigan",0,"30-Mar","2h",""
"Simon Leather","@EntoProf",11700,2851,"Harper Adams U (UK)",0,"30-Mar","30 min",""
"Kai Chan","@KaiChanUBC",782,987,"UBC",0,"30-Mar","1h",""
"David Warton","@ecostats",412,372,"UNSW",4,"26-Mar","26-Mar",""
"Kerry Howell","@DeepSeaEcol",2833,1111,"Plymouth U",3,"27-Mar","27-Mar",""
"Jack Williams","@IceageEcologist",1678,1890,"UWisc Madison",2,"28-Mar","28-Mar",""
"Sean Connolly","@ConnollySeanR",449,354,"JCU",6,"24-Mar","24-Mar",""
"Natalie Cooper","@nhcooper123",7504,1658,"Trinity College Dublin",0,"30-Mar","5 h",""
"Aimee Classen","@aimeeclassen",1485,631,"U Copenhagen",3,"27-Mar","27-Mar",""
"Josh Neufeld","@joshdneufeld",4544,2831,"U Waterloo",2,"28-Mar","28-Mar",""
"Morgan Tingley","@mwtingley",2330,735,"u Conn",6,"24-Mar","24-Mar",""
"Chris Pires","@JChrisPires",43700,3490,"U Missourri",0,"30-Mar","21h",""
"Boris Worm","@CBCOceansguy",56,924,"Dal",8,"22-Mar","22-Mar",""
"Mike Kaiser","@micheljkaiser",323,700,"U Bangor",0,"30-Mar","13 h",""
"Mary O'Connor","@OConnorLab",71,142,"UBC",0,"30-Mar","21h",""
"Jon Witman","@WitmanLab",77,169,"Brown",11,"19-Mar","19-Mar",""
"Mary O'Connor","@mioconnor",306,288,"UBC",2,"28-Mar","28-Mar",""
"Mike Webster","@mikemwebster",369,510,"U St Andrews",0,"30-Mar","16h","RT"
"Dan McGlinn","@CanMcGlinn",1114,591,"College of Charleston",4,"26-Mar","26-Mar",""
